Qbf.m3s,Bbf.m,Hbf.m,S,D50.mm
5.2,6.1,0.5,0.011,22
7.2,5.3,0.5,0.013,44
1.1,2.9,0.3,0.013,111
32.1,14.2,0.9,0.021,152
0.7,2,0.2,0.023,2
12.5,7.4,0.6,0.028,113
0.2,2,0.2,0.047,29
2.2,5.3,0.9,0.0002,0.19
19.1,17.3,1.5,0.0002,0.25
19.5,29.6,1.2,0.0003,0.41
6.3,11.1,0.9,0.0003,0.67
2.8,10.2,0.7,0.0004,1
9.6,16.4,1.2,0.0004,0.32
1,4.5,0.4,0.0007,0.27
7.7,9.2,0.9,0.001,0.26
1.1,8.2,0.3,0.0013,0.33
1.8,5.5,0.6,0.0014,0.14
15.3,11.3,1,0.0014,13.21
13.2,11.8,1,0.0014,13.11
2.4,5.4,0.5,0.0023,0.64
0.3,2.3,0.2,0.01,6.93
18.8,13.2,1.2,0.0008,0.63
75.3,26.3,1.8,0.0013,20.2
72.5,20.4,1.8,0.0014,2.83
25.9,16.5,1,0.0016,7.7
29.2,13.7,1.2,0.0022,0.36
39.3,20.1,1.2,0.0025,14.54
17.8,12.3,0.8,0.005,36.63
29,15.8,1,0.0052,32
55.5,20.4,1.3,0.0052,26.42
37.8,17.7,1,0.012,106.94
10.3,13.3,0.6,0.0165,132.81
0.2,3.7,0.18,0.00011,0.71
7.36,10.9,1.07,0.00017,0.55
14.95,14.5,1.49,0.00018,0.38
0.65,7.1,0.37,0.0002,0.61
8.81,14.2,1.37,0.00038,0.22
9.97,11.7,1.43,0.0004,0.34
0.48,6.6,0.27,0.00047,0.4
11.27,10.1,1.68,0.0005,0.36
10.62,11.7,2.23,0.00051,1.35
6.14,10.4,1.04,0.00058,0.15
37.66,35.5,1.46,0.0006,0.3
1.27,4.5,0.61,0.0008,0.59
12.43,14.4,1.62,0.001,0.41
35.68,29.1,2.29,0.0012,0.86
75.04,40.6,2.01,0.0012,0.45
7.19,11,0.94,0.00128,0.43
7.02,6.1,1.46,0.00197,1.31
0.59,3.3,0.3,0.0026,1.21
37.1,18,1.92,0.00305,0.57
16.76,15.2,2.44,0.004,0.48
25.2,32.6,1.2,0.0002,0.8
38.2,33.9,1,0.0009,33.9
1.4,14.2,0.6,0.0012,0.1
45.3,40.9,1.7,0.0018,37.1
6.4,14.9,0.9,0.0028,7.9
2.5,12.6,0.6,0.001,0.2
2.5,12.9,0.5,0.001,0.2
2.5,11.4,0.6,0.001,0.2
9.9,13.6,0.9,0.001,18.3
9.9,19.8,0.7,0.001,18.3
9.9,17.1,0.8,0.001,18.3
181.2,50,1.6,0.001,20.7
181.2,44.5,1.5,0.001,20.7
181.2,63.4,1.3,0.001,20.7
104.8,92.7,0.8,0.001,55.8
104.8,75.3,0.9,0.001,55.8
104.8,74.7,1,0.001,55.8
16.4,26.2,0.5,0.002,19
16.4,17.3,0.5,0.002,19
16.4,22.2,0.3,0.002,19
89.2,32.9,1.4,0.002,89.6
89.2,40.5,1.2,0.002,89.6
89.2,53.9,1,0.002,89.6
79.9,63.1,0.6,0.002,55.4
79.9,39.6,1.2,0.002,55.4
79.9,37.2,1.2,0.002,55.4
1.1,11.2,0.2,0.003,0.06
1.1,4.9,0.3,0.003,0.06
1.1,4,0.3,0.003,0.06
2.5,10.7,0.5,0.003,1.1
2.5,11.3,0.7,0.003,1.1
2.5,10.4,0.6,0.003,1.1
37.7,35.4,0.6,0.003,96.3
37.7,29.8,0.6,0.003,96.3
37.7,26,0.8,0.003,96.3
22.5,18.9,1,0.004,35.2
22.5,16.5,0.9,0.004,35.2
22.5,15.8,1,0.004,35.2
37.7,19.3,0.6,0.004,84.8
37.7,24.7,0.7,0.004,84.8
37.7,19.5,0.7,0.004,84.8
32.6,25.4,0.6,0.007,38.5
32.6,18,0.9,0.007,38.5
32.6,13.3,0.8,0.007,38.5
32.6,17.7,0.9,0.008,42.7
32.6,18,1,0.008,42.7
8.5,6.8,0.6,0.012,55.9
8.5,7,0.7,0.012,55.9
8.5,8.4,0.8,0.012,55.9
4.4,6.3,0.3,0.014,37.2
4.4,8.3,0.3,0.014,37.2
4.4,10.3,0.3,0.014,37.2
7.5,10.1,0.5,0.016,64.8
7.5,9.7,0.5,0.016,64.8
7.5,9.8,0.5,0.016,64.8
29.7,19,1.5,0.0005,0.1
29.7,18.2,1.9,0.0005,0.1
29.7,28.7,1.2,0.0005,0.1
29.7,19.4,1.8,0.0005,0.1
117.2,50.6,2.1,0.001,18.4
117.2,69.5,1.9,0.001,18.4
117.2,51.5,2.2,0.001,18.4
3.4,7.6,0.9,0.003,4.8
3.4,7.6,0.8,0.003,4.8
3.4,7.6,0.9,0.003,4.8
12.3,12.6,1.3,0.003,10.9
12.3,13.3,1.2,0.003,10.9
12.3,21.2,0.8,0.003,10.9
12.3,15.6,1.1,0.003,10.9
65.4,52.4,0.8,0.003,70.6
65.4,54.3,0.8,0.003,70.6
65.4,43,1.1,0.003,70.6
2.2,4.5,0.5,0.004,0.1
2.2,4.7,0.5,0.004,0.1
2.2,4.6,0.5,0.004,0.1
15.5,21.6,0.5,0.005,40.5
15.5,27.1,0.4,0.005,40.5
15.5,25.1,0.4,0.005,40.5
15.5,22.6,0.4,0.005,40.5
12.4,11.9,0.7,0.006,54.5
12.4,10,0.8,0.006,54.5
12.4,12.4,0.8,0.006,54.5
1.3,3.6,0.5,0.007,0.5
1.3,4.5,0.5,0.007,0.5
1.3,3.4,0.5,0.007,0.5
48.7,27.8,1,0.01,27
48.7,21.5,1.2,0.01,27
48.7,23.1,1,0.01,27
,10.8,1,0.0001,3.47
54.7,37,2.5,0.00012,0.21
300.2,96,1.9,0.00058,74.93
410.6,63.8,3.7,0.00064,37.93
70.5,43.4,1.4,0.00105,27.86
77.3,21.9,2.1,0.00111,31.23
9.4,9.6,0.8,0.00137,5.54
,17.9,1,0.00146,36.57
45.6,29.7,1.3,0.00149,44.3
5,12.1,0.8,0.00157,12.94
,13.1,1.3,0.00161,4.8
,5.2,0.5,0.00198,5.23
,12.8,0.9,0.00273,11.43
82.7,38.5,1.5,0.00333,54.12
25.8,17.2,1.1,0.00391,39.2
11.8,10.1,0.7,0.00489,28.72
35.4,19.3,1.1,0.00496,59.83
,10.2,0.7,0.00568,41.34
11,10.8,1,0.00598,29.17
9.1,9.4,0.7,0.00641,28.23
,25.9,1,0.00735,55.27
,21,1,0.00751,60.68
,4.7,0.3,0.01267,27.85
1.3,4.2,0.3,0.01472,38.63
,14.4,0.7,0.01632,71.9
7.9,6.3,0.6,0.02659,48.98
5.4,7.6,0.5,0.0397,51.83
20.1,12.1,0.6,0.05042,94.86
