Qbf.m3s,Bbf.m,Hbf.m,S,D50.mm
3.242278934784,5.76072,0.505968,0.016,9.47
1.019406477312,4.572,0.329184,0.0067,9.78
48.874877217792,21.51888,1.31064,0.0004,9.9
17.3842784597606,15.578328,0.576072,0.0059,10.31
18.717435597312,19.05,0.97536,0.0017,10.4
1.812278181888,4.7244,0.512064,0.0025,10.6
3.2507739887616,4.026408,0.44196,0.012,10.69
3.39802159104,7.74192,0.57912,0.0087,11.03
21.9455561088,12.8016,1.072896,0.0029,11.13
7.92871704576,11.18616,0.719328,0.0021,11.69
5.720003011584,6.64464,0.856488,0.0059,12.41
13.1645019806208,11.82624,0.954024,0.0014,13.11
15.29109715968,11.2776,0.981456,0.0014,13.21
1.529109715968,6.5532,0.344424,0.0091,13.43
59.18220937728,30.0228,2.01168,0.0015,13.83
6.2212111962624,10.54608,0.36576,0.012,13.86
2.775050966016,5.7912,0.4572,0.0067,14.2
291.6635198976,75.5904,2.319528,0.0003,14.71
1.472476022784,4.51104,0.387096,0.0078,15.17
17.83961335296,13.92936,1.368552,0.0019,15.17
2.7523974887424,2.7432,0.4572,0.052,15.5
19.510307301888,15.91056,1.225296,0.0017,15.62
5.281091889408,8.56488,0.57912,0.0132,15.7
20.784565398528,23.59152,0.762,0.001,16.2
37.151702728704,20.90928,0.94488,0.0007,16.8
52.867552587264,25.35936,1.456944,0.0019,16.95
1.868911875072,4.38912,0.432816,0.0123,16.99
47.062599035904,22.7076,1.2192,0.00323,17
106.75451165184,58.166,1.71704,0.001,17.1
15.347730852864,19.17192,0.813816,0.0021,17.73
59.4653778432,27.21864,2.310384,0.0012,17.9
59.437060996608,23.622,1.344168,0.0014,17.97
16.70693948928,10.5156,0.981456,0.0051,18.66
74.020236991488,30.7848,1.429512,0.0021,19.04
140.45155909632,42.0624,1.2192,0.002,20.5
48.1386392064,22.95144,0.99568,0.004,20.6333333333333
5.408517699072,9.144,0.67056,0.014,21
5.1791512416768,9.05256,0.51816,0.011,21.69
1.444159176192,4.572,0.36576,0.033,22.6
5.776636704768,7.7724,0.466344,0.007,24
1.5092879233536,2.4384,0.27432,0.0369,24
391.05565143552,44.196,3.45948,0.000417,25
166,49.4,1.1,0.0057,27
550,59.35,4.19,0.0007,28
1543.44626340628,168.8,4.97,0.00034,28
33.9802159104,27.2796,1.018032,0.0087,32.5
2.7,5.24,0.65,0.0023,33
1428.97325886125,127.05,5.37,0.00047,34
1020,123,3.84,0.00035,38
1319.6167266274,137.35,4.365,0.00066,38
66,26.34,1.16,0.0024,39
38,19.48,1.67,0.002,40
29.5,13.73,1.34,0.0045,41
122,51.2,1.16,0.0054,42
62.3,31.1,1.22,0.0036,43
510,126,2.38,0.0016,43
67,31.01,1.77,0.0018,43
42.5,30.5,0.945,0.0024,45
187,59.4,1.28,0.0021,47
1020.7571156832,128.5,3.67,0.001,47
33.9802159104,27.29484,1.060704,0.0068,50
33.9802159104,26.615136,0.978408,0.0068,50
113,38.1,2.04,0.00055,51
66,19.03,2.47,0.0014,51
11.9,18,0.579,0.011,52
579.530710839769,77.5,3.135,0.0015,52
978.708702025816,160.5,2.84,0.0013,52
29.4,23.4,1.4,0.002,54
82.1188551168,39.084504,1.594104,0.0019,54.8
81,28.67,1.63,0.0014,55
113,64.3,0.975,0.0032,56
14.2,16.73,0.69,0.0032,57
622.669314773526,107,2.39,0.0021,57
608.427315125773,102,2.43,0.00175,58
140,34.37,3.06,0.0017,63
25,25.12,0.78,0.0052,63
